employee_id,worker_name,hire_date,effective_date,reason,job_profile_from,job_profile_to,job_level_from,job_level_to,base_pay_from,base_pay_to,department_from,department_to,grade_from,grade_to,is_manager_from,is_manager_to,gender,minority_status,age,days_in_job_before_change,days_in_position_before_change,active,diverse
E00446,Parker Williams,01/17/2012,02/03/2013,Lateral Move > New Job > Same Level,VP,Senior Manager,Professional,Professional,81344.14,81861.69,Risk Management,Risk Management,9,9,0,0,Female,Non-Minority,38,269,613,Yes,Non-Minority
E00446,Parker Williams,01/17/2012,12/30/2013,Lateral Move > New Job > Same Level,Senior Manager,Director,Professional,Professional,81861.69,80568.91,Risk Management,Supply Chain,9,9,0,0,Female,Non-Minority,38,735,198,Yes,Non-Minority
E00446,Parker Williams,01/17/2012,08/26/2015,Lateral Move > New Job > Same Level,Director,Senior Director,Professional,Professional,80568.91,82650.25,Supply Chain,Legal,9,9,0,0,Female,Non-Minority,38,735,1447,Yes,Non-Minority
E00446,Parker Williams,01/17/2012,10/27/2017,Promotion > New Job > Higher Level,Senior Director,Consultant,Professional,Senior Professional,82650.25,97497.73,Legal,Risk Management,9,11,0,0,Female,Non-Minority,38,1509,881,Yes,Non-Minority
E00456,Blake Jones,12/15/2015,06/26/2017,Promotion > New Job > Higher Level,Coordinator,Director,Senior Professional,Manager,78964.3,93618.56,Sales,Sales,8,9,0,1,Female,Non-Minority,28,1268,270,No,Non-Minority
E00456,Blake Jones,12/15/2015,06/22/2017,Promotion > New Job > Higher Level,Director,Consultant,Manager,Senior Manager,93618.56,105330.02,Sales,Sales,9,10,1,1,Female,Non-Minority,28,1639,134,No,Non-Minority
E00250,Dakota Robinson,03/28/2022,08/01/2023,Demotion > New Job > Lower Level,Associate,Manager,Entry,Entry,117089.45,113564.49,Marketing,Marketing,13,12,0,0,Female,Non-Minority,50,985,411,Yes,Non-Minority
E00112,Dakota Hall,07/20/2012,01/13/2014,Promotion > New Job > Higher Level,Specialist,Senior Manager,Senior Professional,Manager,71232.18,78590.94,Supply Chain,Supply Chain,6,8,0,1,Male,Non-Minority,54,744,216,Yes,Non-Minority
E00458,Riley Hall,11/20/2022,03/30/2024,Demotion > New Job > Lower Level,Consultant,Administrator,Senior Professional,Professional,88049.92,84900.2,Risk Management,Risk Management,9,8,0,0,Female,Minority,54,240,1226,No,Minority
E00458,Riley Hall,11/20/2022,09/01/2024,Promotion > New Job > Higher Level,Administrator,Senior Director,Professional,Senior Professional,84900.2,91077.22,Risk Management,Risk Management,8,9,0,0,Female,Minority,54,461,269,Yes,Minority
E00174,River Walker,01/09/2023,12/21/2024,Promotion > New Job > Higher Level,Consultant,Senior Specialist,Senior Professional,Manager,77738.5,86491.86,Marketing,Marketing,7,8,0,1,Female,Non-Minority,60,819,1329,No,Non-Minority
E00174,River Walker,01/09/2023,12/11/2024,Demotion > New Job > Lower Level,Senior Specialist,Senior Analyst,Manager,Senior Professional,86491.86,78568.51,Marketing,Research,8,7,1,0,Female,Non-Minority,60,1369,1198,Yes,Non-Minority
E00345,Rowan Allen,11/12/2020,04/19/2022,Promotion > New Job > Higher Level,Senior Analyst,Coordinator,Senior Professional,Manager,92964.01,103609.29,Risk Management,Risk Management,10,11,0,1,Female,Minority,26,477,1433,Yes,Minority
E00345,Rowan Allen,11/12/2020,06/13/2023,Promotion > New Job > Higher Level,Coordinator,VP,Manager,Senior Manager,103609.29,113724.09,Risk Management,Risk Management,11,12,1,1,Female,Minority,26,422,467,No,Minority
E00157,Riley Allen,06/03/2020,08/16/2021,Promotion > New Job > Higher Level,Senior Analyst,Senior Specialist,Professional,Senior Professional,111192.45,129518.66,Supply Chain,Supply Chain,12,13,0,0,Female,Non-Minority,26,1022,711,Yes,Non-Minority
E00157,Riley Allen,06/03/2020,08/30/2022,Promotion > New Job > Higher Level,Senior Specialist,Senior Analyst,Senior Professional,Manager,129518.66,138946.78,Supply Chain,Marketing,13,15,0,1,Female,Non-Minority,26,233,1343,No,Non-Minority
E00157,Riley Allen,06/03/2020,12/01/2022,Lateral Move > New Job > Same Level,Senior Analyst,Director,Manager,Manager,138946.78,142058.12,Marketing,Marketing,15,15,1,1,Female,Non-Minority,26,655,562,Yes,Non-Minority
E00018,Avery Davis,10/29/2019,11/10/2020,Promotion > New Job > Higher Level,Analyst II,Senior Analyst,Senior Professional,Manager,115089.76,122216.27,Customer Service,Customer Service,12,14,0,1,Female,Minority,43,1208,1328,No,Minority
E00018,Avery Davis,10/29/2019,02/20/2022,Lateral Move > New Job > Same Level,Senior Analyst,Administrator,Manager,Manager,122216.27,125863.37,Customer Service,Customer Service,14,14,1,1,Female,Minority,43,973,1096,Yes,Minority
E00018,Avery Davis,10/29/2019,06/25/2023,Promotion > New Job > Higher Level,Administrator,Coordinator,Manager,Senior Manager,125863.37,135248.74,Customer Service,Legal,14,15,1,1,Female,Minority,43,210,642,Yes,Minority
E00018,Avery Davis,10/29/2019,02/20/2023,Promotion > New Job > Higher Level,Coordinator,Coordinator,Senior Manager,Director,135248.74,157071.8,Legal,Legal,15,16,1,1,Female,Minority,43,598,225,Yes,Minority
E00018,Avery Davis,10/29/2019,10/25/2021,Demotion > New Job > Lower Level,Coordinator,Administrator,Director,Senior Manager,157071.8,152441.86,Legal,Legal,16,15,1,1,Female,Minority,43,1443,1093,Yes,Minority
E00018,Avery Davis,10/29/2019,06/19/2024,Lateral Move > New Job > Same Level,Administrator,Senior Specialist,Senior Manager,Senior Manager,152441.86,158642.32,Legal,Legal,15,15,1,1,Female,Minority,43,1009,175,Yes,Minority
E00481,Jordan Thompson,03/19/2014,09/29/2015,Lateral Move > New Job > Same Level,Analyst I,VP,Manager,Manager,109708.86,113045.55,Operations,Operations,10,10,1,1,Female,Non-Minority,33,1351,1306,Yes,Non-Minority
E00481,Jordan Thompson,03/19/2014,09/18/2016,Promotion > New Job > Higher Level,VP,Administrator,Manager,Senior Manager,113045.55,127526.39,Operations,Operations,10,11,1,1,Female,Non-Minority,33,266,593,Yes,Non-Minority
E00481,Jordan Thompson,03/19/2014,02/13/2018,Lateral Move > New Job > Same Level,Administrator,Analyst I,Senior Manager,Senior Manager,127526.39,129777.34,Operations,Operations,11,11,1,1,Female,Non-Minority,33,1322,883,Yes,Non-Minority
E00481,Jordan Thompson,03/19/2014,02/08/2018,Promotion > New Job > Higher Level,Analyst I,Consultant,Senior Manager,Director,129777.34,139961.95,Operations,Operations,11,12,1,1,Female,Non-Minority,33,803,675,Yes,Non-Minority
E00481,Jordan Thompson,03/19/2014,10/18/2017,Demotion > New Job > Lower Level,Consultant,VP,Director,Senior Manager,139961.95,121996.89,Operations,Finance,12,11,1,1,Female,Non-Minority,33,1238,381,Yes,Non-Minority
E00061,Cameron Wright,06/04/2019,04/29/2021,Lateral Move > New Job > Same Level,Administrator,Analyst II,Entry,Entry,102069.9,103255.84,Human Resources,Human Resources,11,11,0,0,Female,Non-Minority,51,548,1288,Yes,Non-Minority
E00061,Cameron Wright,06/04/2019,05/16/2022,Lateral Move > New Job > Same Level,Analyst II,Specialist,Entry,Entry,103255.84,105140.1,Human Resources,Human Resources,11,11,0,0,Female,Non-Minority,51,1103,141,Yes,Non-Minority
E00061,Cameron Wright,06/04/2019,06/04/2021,Lateral Move > New Job > Same Level,Specialist,Consultant,Entry,Entry,105140.1,106376.3,Human Resources,Human Resources,11,11,0,0,Female,Non-Minority,51,593,1021,Yes,Non-Minority
E00061,Cameron Wright,06/04/2019,12/04/2020,Lateral Move > New Job > Same Level,Consultant,Consultant,Entry,Entry,106376.3,106110.97,Human Resources,Human Resources,11,11,0,0,Female,Non-Minority,51,1637,425,Yes,Non-Minority
E00240,Avery Taylor,04/27/2017,06/29/2018,Promotion > New Job > Higher Level,Senior Manager,Specialist,Professional,Senior Professional,102590.08,109476.41,Communications,Communications,12,13,0,0,Female,Minority,46,354,1162,Yes,Minority
E00240,Avery Taylor,04/27/2017,04/20/2020,Promotion > New Job > Higher Level,Specialist,Director,Senior Professional,Manager,109476.41,126886.56,Communications,Communications,13,15,0,1,Female,Minority,46,507,865,Yes,Minority
E00240,Avery Taylor,04/27/2017,06/14/2020,Lateral Move > New Job > Same Level,Director,Director,Manager,Manager,126886.56,124738.81,Communications,Operations,15,15,1,1,Female,Minority,46,1530,397,Yes,Minority
E00240,Avery Taylor,04/27/2017,03/25/2019,Promotion > New Job > Higher Level,Director,Senior Specialist,Manager,Senior Manager,124738.81,134322.49,Operations,Operations,15,16,1,1,Female,Minority,46,810,723,Yes,Minority
E00240,Avery Taylor,04/27/2017,05/31/2022,Promotion > New Job > Higher Level,Senior Specialist,Associate,Senior Manager,Director,134322.49,146857.07,Operations,Marketing,16,17,1,1,Female,Minority,46,187,1365,Yes,Minority
E00240,Avery Taylor,04/27/2017,02/26/2021,Promotion > New Job > Higher Level,Associate,Senior Manager,Director,VP,146857.07,164303.16,Marketing,Marketing,17,17,1,1,Female,Minority,46,191,1335,No,Minority
E00391,Alex Lee,03/21/2023,07/19/2024,Lateral Move > New Job > Same Level,VP,Manager,Professional,Professional,68309.44,67980.27,Customer Service,Customer Service,7,7,0,0,Male,Non-Minority,25,1019,994,No,Non-Minority
E00391,Alex Lee,03/21/2023,06/09/2024,Promotion > New Job > Higher Level,Manager,Director,Professional,Senior Professional,67980.27,73874.63,Customer Service,Customer Service,7,8,0,0,Male,Non-Minority,25,1467,1231,Yes,Non-Minority
E00488,Jordan White,11/17/2018,02/19/2020,Promotion > New Job > Higher Level,Coordinator,Senior Analyst,Senior Professional,Manager,82525.88,87333.8,Communications,Communications,8,9,0,1,Male,Non-Minority,52,246,1456,Yes,Non-Minority
E00136,River Lee,06/09/2016,04/13/2018,Promotion > New Job > Higher Level,Senior Specialist,Senior Specialist,Professional,Senior Professional,80570.16,88600.32,Human Resources,Human Resources,6,8,0,0,Female,Non-Minority,51,545,420,Yes,Non-Minority
E00136,River Lee,06/09/2016,04/28/2019,Promotion > New Job > Higher Level,Senior Specialist,Director,Senior Professional,Manager,88600.32,101151.75,Human Resources,Human Resources,8,10,0,1,Female,Non-Minority,51,1352,1241,Yes,Non-Minority
E00136,River Lee,06/09/2016,06/07/2018,Promotion > New Job > Higher Level,Director,Analyst I,Manager,Senior Manager,101151.75,117578.82,Human Resources,Human Resources,10,12,1,1,Female,Non-Minority,51,370,702,Yes,Non-Minority
E00136,River Lee,06/09/2016,04/01/2019,Lateral Move > New Job > Same Level,Analyst I,Analyst II,Senior Manager,Senior Manager,117578.82,118260.76,Human Resources,Human Resources,12,12,1,1,Female,Non-Minority,51,1733,965,Yes,Non-Minority
E00136,River Lee,06/09/2016,03/02/2022,Lateral Move > New Job > Same Level,Analyst II,Analyst II,Senior Manager,Senior Manager,118260.76,120452.48,Human Resources,Marketing,12,12,1,1,Female,Non-Minority,51,1602,652,Yes,Non-Minority
E00300,Kendall Allen,01/24/2021,10/20/2022,Lateral Move > New Job > Same Level,Associate,Director,Senior Professional,Senior Professional,88173.09,88963.39,Communications,Sales,8,8,0,0,Female,Minority,31,299,313,Yes,Minority
E00300,Kendall Allen,01/24/2021,09/01/2023,Promotion > New Job > Higher Level,Director,Consultant,Senior Professional,Manager,88963.39,99865.8,Sales,Sales,8,9,0,1,Female,Minority,31,1794,678,Yes,Minority
E00300,Kendall Allen,01/24/2021,06/16/2024,Lateral Move > New Job > Same Level,Consultant,Senior Manager,Manager,Manager,99865.8,102124.68,Sales,Sales,9,9,1,1,Female,Minority,31,1357,1366,No,Minority
E00440,Avery Scott,12/03/2022,02/07/2024,Promotion > New Job > Higher Level,Administrator,Manager,Entry,Professional,100967.59,113886.99,Marketing,Marketing,9,11,0,0,Female,Minority,27,548,1338,Yes,Minority
E00440,Avery Scott,12/03/2022,07/28/2024,Lateral Move > New Job > Same Level,Manager,Analyst I,Professional,Professional,113886.99,117258.17,Marketing,Marketing,11,11,0,0,Female,Minority,27,422,139,Yes,Minority
E00132,Blake Taylor,07/23/2012,09/21/2013,Promotion > New Job > Higher Level,VP,Senior Specialist,Manager,Senior Manager,108338.51,126748.98,Customer Service,Customer Service,13,14,1,1,Female,Minority,63,273,773,Yes,Minority
E00132,Blake Taylor,07/23/2012,07/16/2014,Promotion > New Job > Higher Level,Senior Specialist,Senior Associate,Senior Manager,Director,126748.98,133301.22,Customer Service,Engineering,14,15,1,1,Female,Minority,63,1798,228,Yes,Minority
E00132,Blake Taylor,07/23/2012,04/14/2015,Promotion > New Job > Higher Level,Senior Associate,Analyst I,Director,VP,133301.22,150097.63,Engineering,Engineering,15,17,1,1,Female,Minority,63,413,1494,No,Minority
E00132,Blake Taylor,07/23/2012,06/05/2015,Promotion > New Job > Higher Level,Analyst I,Analyst I,VP,VP,150097.63,166519.42,Engineering,Engineering,17,17,1,1,Female,Minority,63,539,487,Yes,Minority
E00132,Blake Taylor,07/23/2012,05/30/2015,Promotion > New Job > Higher Level,Analyst I,Manager,VP,VP,166519.42,197882.01,Engineering,Engineering,17,17,1,1,Female,Minority,63,252,1412,No,Minority
E00132,Blake Taylor,07/23/2012,01/30/2015,Lateral Move > New Job > Same Level,Manager,Consultant,VP,VP,197882.01,200593.92,Engineering,Engineering,17,17,1,1,Female,Minority,63,1279,776,Yes,Minority
E00463,Casey Martin,07/18/2018,02/14/2020,Lateral Move > New Job > Same Level,Coordinator,Senior Associate,Manager,Manager,101945.66,106527.64,Sales,Customer Service,12,12,1,1,Female,Minority,22,1337,1478,Yes,Minority
E00463,Casey Martin,07/18/2018,06/05/2020,Promotion > New Job > Higher Level,Senior Associate,Coordinator,Manager,Senior Manager,106527.64,115181.88,Customer Service,Customer Service,12,13,1,1,Female,Minority,22,904,225,Yes,Minority
E00463,Casey Martin,07/18/2018,05/18/2020,Promotion > New Job > Higher Level,Coordinator,Senior Specialist,Senior Manager,Director,115181.88,135466.66,Customer Service,Customer Service,13,15,1,1,Female,Minority,22,1463,1184,Yes,Minority
E00463,Casey Martin,07/18/2018,06/21/2020,Demotion > New Job > Lower Level,Senior Specialist,Director,Director,Senior Manager,135466.66,125202.03,Customer Service,Customer Service,15,14,1,1,Female,Minority,22,419,721,Yes,Minority
E00453,Hayden Clark,10/23/2020,04/02/2022,Demotion > New Job > Lower Level,Coordinator,Manager,Entry,Entry,83875.04,79033.71,Human Resources,Human Resources,9,8,0,0,Male,Non-Minority,36,666,851,Yes,Non-Minority
E00453,Hayden Clark,10/23/2020,01/28/2023,Lateral Move > New Job > Same Level,Manager,Senior Manager,Entry,Entry,79033.71,82041.89,Human Resources,Human Resources,8,8,0,0,Male,Non-Minority,36,799,448,Yes,Non-Minority
E00453,Hayden Clark,10/23/2020,06/09/2022,Promotion > New Job > Higher Level,Senior Manager,Consultant,Entry,Professional,82041.89,95803.73,Human Resources,Human Resources,8,10,0,0,Male,Non-Minority,36,369,998,Yes,Non-Minority
E00453,Hayden Clark,10/23/2020,08/24/2024,Promotion > New Job > Higher Level,Consultant,Senior Analyst,Professional,Senior Professional,95803.73,112076.36,Human Resources,Human Resources,10,11,0,0,Male,Non-Minority,36,569,786,Yes,Non-Minority
E00453,Hayden Clark,10/23/2020,07/09/2024,Promotion > New Job > Higher Level,Senior Analyst,Analyst II,Senior Professional,Manager,112076.36,130718.02,Human Resources,Risk Management,11,13,0,1,Male,Non-Minority,36,1237,1475,Yes,Non-Minority
E00453,Hayden Clark,10/23/2020,04/19/2023,Promotion > New Job > Higher Level,Analyst II,VP,Manager,Senior Manager,130718.02,151461.09,Risk Management,Risk Management,13,14,1,1,Male,Non-Minority,36,1249,327,Yes,Non-Minority
E00341,Hayden Clark,01/05/2022,06/13/2023,Promotion > New Job > Higher Level,Manager,Analyst II,Senior Professional,Manager,90347.17,104175.51,Operations,Operations,11,12,0,1,Male,Non-Minority,58,862,1046,No,Non-Minority
E00425,Rowan Williams,03/24/2023,05/14/2024,Lateral Move > New Job > Same Level,Senior Specialist,Senior Associate,Director,Director,132445.95,134623.42,Marketing,Marketing,17,17,1,1,Female,Minority,45,226,1272,Yes,Minority
E00190,Quinn Moore,05/24/2019,04/15/2021,Promotion > New Job > Higher Level,Senior Manager,Senior Manager,Senior Professional,Manager,115393.68,126717.5,Marketing,Engineering,11,12,0,1,Female,Minority,61,833,993,Yes,Minority
E00190,Quinn Moore,05/24/2019,04/10/2022,Demotion > New Job > Lower Level,Senior Manager,Analyst II,Manager,Senior Professional,126717.5,109647.97,Engineering,Engineering,12,11,1,0,Female,Minority,61,211,1365,Yes,Minority
E00190,Quinn Moore,05/24/2019,04/10/2023,Promotion > New Job > Higher Level,Analyst II,Specialist,Senior Professional,Manager,109647.97,118527.99,Engineering,Engineering,11,12,0,1,Female,Minority,61,735,379,Yes,Minority
E00143,Sage Garcia,05/28/2021,10/20/2022,Promotion > New Job > Higher Level,Associate,Consultant,Manager,Senior Manager,110866.85,119258.5,Operations,Operations,10,11,1,1,Male,Non-Minority,43,873,1197,No,Non-Minority
E00143,Sage Garcia,05/28/2021,08/25/2023,Promotion > New Job > Higher Level,Consultant,Senior Director,Senior Manager,Director,119258.5,127548.29,Operations,Operations,11,12,1,1,Male,Non-Minority,43,283,306,Yes,Non-Minority
E00143,Sage Garcia,05/28/2021,07/21/2024,Promotion > New Job > Higher Level,Senior Director,VP,Director,VP,127548.29,135573.37,Operations,Operations,12,13,1,1,Male,Non-Minority,43,1400,1303,Yes,Non-Minority
E00019,Avery Williams,12/10/2014,12/02/2016,Lateral Move > New Job > Same Level,Consultant,Specialist,Manager,Manager,119177.08,120512.88,Finance,Finance,11,11,1,1,Male,Non-Minority,24,585,1463,Yes,Non-Minority
E00019,Avery Williams,12/10/2014,06/08/2017,Lateral Move > New Job > Same Level,Specialist,Coordinator,Manager,Manager,120512.88,118765.23,Finance,Finance,11,11,1,1,Male,Non-Minority,24,1133,1252,No,Non-Minority
E00019,Avery Williams,12/10/2014,09/04/2016,Promotion > New Job > Higher Level,Coordinator,Manager,Manager,Senior Manager,118765.23,139184.26,Finance,Finance,11,12,1,1,Male,Non-Minority,24,379,1023,Yes,Non-Minority
E00019,Avery Williams,12/10/2014,09/05/2017,Promotion > New Job > Higher Level,Manager,Senior Analyst,Senior Manager,Director,139184.26,155967.36,Finance,Finance,12,14,1,1,Male,Non-Minority,24,1443,618,No,Non-Minority
E00019,Avery Williams,12/10/2014,12/23/2017,Promotion > New Job > Higher Level,Senior Analyst,Specialist,Director,VP,155967.36,168055.29,Finance,Finance,14,16,1,1,Male,Non-Minority,24,1795,755,Yes,Non-Minority
E00019,Avery Williams,12/10/2014,01/08/2021,Lateral Move > New Job > Same Level,Specialist,Specialist,VP,VP,168055.29,170429.15,Finance,Human Resources,16,16,1,1,Male,Non-Minority,24,1160,1034,Yes,Non-Minority
E00260,Logan Miller,01/31/2020,06/23/2021,Promotion > New Job > Higher Level,Associate,Senior Specialist,Entry,Professional,99666.74,113686.47,IT,Human Resources,11,13,0,0,Male,Non-Minority,39,1642,309,Yes,Non-Minority
E00260,Logan Miller,01/31/2020,12/29/2021,Promotion > New Job > Higher Level,Senior Specialist,Senior Specialist,Professional,Senior Professional,113686.47,132884.09,Human Resources,Human Resources,13,14,0,0,Male,Non-Minority,39,1389,936,Yes,Non-Minority
E00283,Sydney Jones,11/15/2019,09/27/2021,Promotion > New Job > Higher Level,Consultant,Senior Specialist,Entry,Professional,78214.25,88553.58,Operations,Operations,8,9,0,0,Female,Non-Minority,48,315,787,No,Non-Minority
E00283,Sydney Jones,11/15/2019,06/15/2021,Demotion > New Job > Lower Level,Senior Specialist,Coordinator,Professional,Entry,88553.58,84640.31,Operations,Operations,9,8,0,0,Female,Non-Minority,48,1071,1251,Yes,Non-Minority
E00307,Avery Taylor,05/09/2017,02/11/2019,Promotion > New Job > Higher Level,Senior Specialist,VP,Senior Professional,Manager,78190.95,84130.55,Marketing,Marketing,6,7,0,1,Female,Minority,54,1637,1265,Yes,Minority
E00307,Avery Taylor,05/09/2017,09/19/2019,Lateral Move > New Job > Same Level,VP,Specialist,Manager,Manager,84130.55,83121.2,Marketing,Marketing,7,7,1,1,Female,Minority,54,1316,289,No,Minority
E00307,Avery Taylor,05/09/2017,11/05/2020,Promotion > New Job > Higher Level,Specialist,Director,Manager,Senior Manager,83121.2,91117.9,Marketing,Marketing,7,8,1,1,Female,Minority,54,402,1493,Yes,Minority
E00030,Sage Garcia,10/30/2017,05/12/2019,Lateral Move > New Job > Same Level,Manager,Analyst I,Professional,Professional,97530.54,97815.19,Human Resources,Human Resources,8,8,0,0,Male,Minority,56,365,535,Yes,Minority
E00030,Sage Garcia,10/30/2017,03/21/2019,Promotion > New Job > Higher Level,Analyst I,Manager,Professional,Senior Professional,97815.19,113814.0,Human Resources,Human Resources,8,9,0,0,Male,Minority,56,1268,686,Yes,Minority
E00030,Sage Garcia,10/30/2017,01/05/2021,Promotion > New Job > Higher Level,Manager,Specialist,Senior Professional,Manager,113814.0,122845.14,Human Resources,Human Resources,9,11,0,1,Male,Minority,56,793,1257,Yes,Minority
E00030,Sage Garcia,10/30/2017,08/21/2022,Lateral Move > New Job > Same Level,Specialist,Senior Specialist,Manager,Manager,122845.14,123007.11,Human Resources,Human Resources,11,11,1,1,Male,Minority,56,1650,795,No,Minority
E00030,Sage Garcia,10/30/2017,04/30/2019,Promotion > New Job > Higher Level,Senior Specialist,Administrator,Manager,Senior Manager,123007.11,140440.12,Human Resources,Human Resources,11,12,1,1,Male,Minority,56,441,692,No,Minority
E00374,Jordan Brown,03/30/2020,10/05/2021,Promotion > New Job > Higher Level,Administrator,Specialist,Entry,Professional,92880.14,97535.9,Engineering,Engineering,9,10,0,0,Female,Non-Minority,33,404,667,Yes,Non-Minority
E00153,Dakota Williams,01/27/2011,05/26/2012,Promotion > New Job > Higher Level,Analyst II,Specialist,Senior Professional,Manager,101380.03,117127.72,Sales,Sales,11,13,0,1,Male,Non-Minority,53,1637,873,No,Non-Minority
E00110,Addison Jones,03/24/2015,10/04/2016,Demotion > New Job > Lower Level,Senior Analyst,Manager,Manager,Senior Professional,112870.79,102325.8,Communications,Marketing,10,9,1,0,Male,Minority,56,464,475,Yes,Minority
E00110,Addison Jones,03/24/2015,10/12/2017,Demotion > New Job > Lower Level,Manager,Administrator,Senior Professional,Professional,102325.8,92092.95,Marketing,Marketing,9,8,0,0,Male,Minority,56,1034,405,No,Minority
E00110,Addison Jones,03/24/2015,11/03/2017,Lateral Move > New Job > Same Level,Administrator,Senior Analyst,Professional,Professional,92092.95,96681.2,Marketing,Marketing,8,8,0,0,Male,Minority,56,203,236,Yes,Minority
E00110,Addison Jones,03/24/2015,11/10/2019,Lateral Move > New Job > Same Level,Senior Analyst,Manager,Professional,Professional,96681.2,94853.88,Marketing,Marketing,8,8,0,0,Male,Minority,56,1527,984,No,Minority
E00423,Addison Lee,09/19/2011,10/31/2012,Promotion > New Job > Higher Level,Senior Director,Manager,Senior Manager,Director,107544.25,123281.89,Supply Chain,Supply Chain,11,12,1,1,Female,Minority,23,1795,1327,No,Minority
E00423,Addison Lee,09/19/2011,11/27/2013,Promotion > New Job > Higher Level,Manager,Administrator,Director,VP,123281.89,137848.77,Supply Chain,Supply Chain,12,13,1,1,Female,Minority,23,1101,877,Yes,Minority
E00372,Elliot Miller,03/11/2019,07/03/2020,Promotion > New Job > Higher Level,VP,Administrator,Entry,Professional,111125.89,123762.66,Finance,Product,13,14,0,0,Female,Non-Minority,52,1676,574,Yes,Non-Minority
E00372,Elliot Miller,03/11/2019,03/09/2022,Lateral Move > New Job > Same Level,Administrator,Senior Manager,Professional,Professional,123762.66,125634.08,Product,Product,14,14,0,0,Female,Non-Minority,52,1360,841,Yes,Non-Minority
