employee_id,name,department,job_profile,job_level,grade,annual_salary,gender,minority_status,veteran,disability,age,age_group,hire_date,term_date,term_reason,term_category,manager_id,location,is_manager,highest_degree,tenure_years,exempt,grade_profile,time_in_job_years,leave_type,leave_start,leave_end,employee_type
E00027,River Williams,Human Resources,Senior Director,Senior Professional,7,81977.92,Male,Non-Minority,No,No,37,30-39,05/23/2021,,,,E00002,West,1,None,2.6,1,Technical,1.1,None,,,Regular
E00028,Rowan Anderson,Legal,Consultant,Senior Professional,14,140255.43,Female,Minority,No,No,38,30-39,05/03/2023,04/09/2024,Voluntary - Relocation,Voluntary,E00010,Southeast,1,Bachelors,0.7,1,Standard,0.7,None,,,Regular
E00029,River White,Operations,Analyst II,Entry,6,73020.58,Male,Non-Minority,No,Yes,26,Under 30,12/08/2012,10/16/2016,Voluntary - Personal,Voluntary,E00008,Remote,1,Associates,11.1,1,Technical,3.4,None,,,Regular
E00030,Sage Garcia,Human Resources,Manager,Professional,8,97530.54,Male,Minority,No,No,56,50-59,10/30/2017,,,,E00006,Midwest,1,Doctorate,6.2,1,Technical,3.8,None,,,Regular
E00031,Jamie Brown,Engineering,Consultant,Director,11,119894.03,Female,Minority,No,No,28,Under 30,06/10/2022,,,,E00003,Remote,1,Associates,1.6,1,Market Premium,1.0,None,,,Regular
E00032,Skyler Clark,Supply Chain,Administrator,Senior Professional,10,114228.09,Female,Non-Minority,No,No,38,30-39,09/22/2014,,,,E00004,Remote,1,Masters,9.3,0,Market Premium,8.9,None,,,Regular
E00033,Jordan Smith,Human Resources,Specialist,Senior Professional,11,125645.27,Male,Non-Minority,No,No,30,Under 30,02/21/2011,,,,E00005,Midwest,1,Associates,12.9,1,Technical,6.2,None,,,Regular
E00034,Charlie Robinson,Customer Service,Consultant,Senior Professional,5,77872.9,Male,Minority,No,No,31,30-39,08/05/2019,,,,E00002,Remote,1,None,4.4,0,Market Premium,3.1,None,,,Regular
E00035,Sage Taylor,Legal,Consultant,Professional,7,89301.76,Female,Non-Minority,No,No,24,Under 30,04/28/2013,,,,E00001,Midwest,1,Associates,10.7,1,Technical,3.2,None,,,Regular
E00036,River Walker,Operations,Senior Analyst,Professional,13,129128.01,Male,Minority,No,No,37,30-39,04/22/2012,,,,E00007,Southeast,1,Associates,11.7,1,Market Premium,0.8,None,,,Regular
E00037,Hayden King,Engineering,Analyst I,Senior Professional,7,87926.14,Female,Non-Minority,No,No,52,50-59,06/14/2017,07/24/2022,Voluntary - Retirement,Voluntary,E00002,Southeast,1,Associates,6.5,0,Market Premium,2.8,None,,,Regular
E00038,Hayden Anderson,Sales,Senior Associate,Professional,5,72572.64,Female,Minority,No,No,26,Under 30,02/08/2015,,,,E00004,Midwest,1,Bachelors,8.9,0,Technical,5.0,Military,09/18/2021,01/01/2022,Regular
E00039,Morgan Harris,Marketing,Senior Specialist,Manager,14,140470.37,Male,Non-Minority,No,No,44,40-49,08/15/2010,05/28/2012,Involuntary - Performance,Involuntary,E00001,Midwest,1,Masters,13.4,1,Technical,13.7,None,,,Regular
E00040,Jamie Johnson,Legal,VP,Entry,14,143531.14,Male,Non-Minority,No,No,49,40-49,08/05/2012,,,,E00004,Northeast,1,Doctorate,11.4,1,Technical,8.3,None,,,Regular
E00041,Drew Lewis,Human Resources,Administrator,Manager,15,139900.44,Male,Minority,No,Yes,29,Under 30,06/03/2014,12/30/2018,Voluntary - Return to School,Voluntary,E00010,Midwest,1,Doctorate,9.6,1,Market Premium,6.9,None,,,Regular
E00042,Parker Lewis,Customer Service,Senior Specialist,Senior Professional,7,91441.35,Female,Minority,No,No,65,60+,04/26/2017,04/28/2022,Involuntary - Performance,Involuntary,E00004,Southeast,1,Doctorate,6.7,1,Technical,2.5,None,,,Regular
E00043,River Clark,Engineering,Specialist,Professional,8,90290.79,Male,Non-Minority,No,No,51,50-59,04/16/2022,10/14/2022,Involuntary - Performance,Involuntary,E00010,West,1,Masters,1.7,1,Technical,0.9,Family Care,04/23/2023,09/01/2023,Regular
E00044,Skyler Clark,Research,Director,Senior Professional,6,85618.16,Female,Minority,No,No,43,40-49,10/22/2013,,,,E00009,Northeast,1,Associates,10.2,1,Technical,3.7,Parental,03/26/2020,07/27/2020,Regular
E00045,Finley Harris,Finance,Administrator,Manager,10,108241.88,Male,Minority,No,No,26,Under 30,04/22/2013,,,,E00004,West,1,Masters,10.7,0,Technical,6.7,None,,,Regular
E00046,Casey Clark,Product,VP,Professional,11,116123.76,Male,Non-Minority,Yes,No,22,Under 30,08/12/2018,,,,E00004,Northeast,1,Masters,5.4,0,Standard,1.4,None,,,Regular
E00047,Avery Scott,Product,Administrator,Professional,5,77059.84,Male,Non-Minority,No,No,29,Under 30,08/14/2021,,,,E00009,West,1,Associates,2.4,1,Market Premium,2.1,None,,,Regular
E00048,River Young,IT,VP,Senior Professional,10,114905.15,Female,Non-Minority,Yes,No,54,50-59,07/15/2022,,,,E00008,West,1,Doctorate,1.5,1,Market Premium,1.8,None,,,Regular
E00049,Marley Clark,Product,Senior Associate,Director,14,132437.75,Male,Non-Minority,No,Yes,55,50-59,08/24/2020,,,,E00004,West,1,Associates,3.4,0,Market Premium,2.0,None,,,Regular
E00050,Charlie Thompson,Sales,Analyst II,Entry,9,106858.04,Male,Non-Minority,No,No,30,Under 30,05/29/2016,,,,E00006,Southeast,1,Associates,7.6,1,Market Premium,5.8,Parental,05/26/2020,07/05/2020,Regular
E00051,Emery Jackson,Legal,Senior Specialist,Entry,11,118234.24,Female,Non-Minority,No,No,25,Under 30,06/11/2011,,,,E00022,Southeast,1,Masters,12.6,1,Market Premium,11.9,None,,,Regular
E00052,Reese Thomas,Supply Chain,Manager,Manager,10,94338.5,Male,Non-Minority,Yes,Yes,22,Under 30,02/06/2023,,,,E00049,Midwest,0,Bachelors,0.9,1,Market Premium,1.3,None,,,Regular
E00053,Charlie Davis,Customer Service,Manager,Senior Professional,13,112567.93,Male,Non-Minority,No,No,36,30-39,05/26/2019,,,,E00039,Midwest,0,Masters,4.6,1,Market Premium,0.6,None,,,Regular
E00054,River Thompson,Risk Management,Analyst I,Senior Manager,17,161917.47,Female,Minority,No,No,47,40-49,07/16/2017,07/26/2022,Voluntary - Career Change,Voluntary,E00009,Remote,1,Doctorate,6.5,0,Technical,0.7,None,,,Regular
E00055,Jamie Thomas,Marketing,Specialist,Entry,12,113388.38,Male,Non-Minority,No,No,35,30-39,08/13/2019,,,,E00004,West,0,Bachelors,4.4,1,Market Premium,3.8,Medical,04/02/2022,05/28/2022,Regular
E00056,Finley Smith,Communications,VP,Professional,11,105857.85,Male,Non-Minority,Yes,No,56,50-59,03/29/2016,,,,E00006,Northeast,0,Bachelors,7.8,1,Standard,5.6,Parental,06/14/2018,08/13/2018,Regular
E00057,River Jones,Sales,Associate,Manager,13,101857.19,Male,Minority,No,No,30,Under 30,09/12/2010,,,,E00002,West,0,None,13.3,1,Technical,13.1,None,,,Regular
E00058,Sydney Robinson,Marketing,Analyst II,Professional,14,122982.03,Male,Non-Minority,No,No,32,30-39,06/06/2020,10/18/2023,Involuntary - Restructuring,Involuntary,E00039,Midwest,0,None,3.6,1,Technical,0.6,None,,,Regular
E00059,Logan Miller,IT,Analyst II,Entry,11,103438.37,Female,Non-Minority,No,No,59,50-59,12/30/2016,,,,E00026,Southeast,0,None,7.0,1,Technical,5.9,None,,,Regular
E00060,Blake Thompson,Communications,Senior Specialist,Entry,6,65218.13,Female,Minority,No,No,64,60+,06/20/2023,,,,E00003,Midwest,0,None,0.5,1,Technical,0.8,Personal,02/21/2018,07/25/2018,Regular
E00061,Cameron Wright,Human Resources,Administrator,Entry,11,102069.9,Female,Non-Minority,No,No,51,50-59,06/04/2019,,,,E00024,Southeast,0,Masters,4.6,0,Standard,3.9,None,,,Regular
E00062,Finley Jackson,IT,Senior Specialist,Professional,13,101490.39,Male,Non-Minority,No,No,59,50-59,01/22/2016,,,,E00050,Midwest,0,Bachelors,7.9,1,Standard,7.1,None,,,Regular
E00063,River Lewis,Sales,Senior Specialist,VP,17,136537.76,Female,Minority,No,No,43,40-49,12/11/2011,07/25/2015,Voluntary - Personal,Voluntary,E00037,Northeast,0,Masters,12.1,0,Market Premium,2.7,None,,,Regular
E00064,Jamie Wright,Operations,Director,Entry,9,88322.4,Female,Minority,No,No,39,30-39,10/04/2014,,,,E00022,Remote,0,None,9.2,1,Technical,9.2,None,,,Regular
E00065,Emery Hall,Sales,Associate,Entry,11,100048.31,Female,Non-Minority,No,No,52,50-59,12/03/2011,,,,E00032,West,0,Masters,12.1,1,Standard,1.6,None,,,Regular
E00066,Reese Taylor,Legal,Manager,Professional,8,80564.37,Female,Non-Minority,No,No,57,50-59,12/21/2014,,,,E00043,Remote,0,Bachelors,9.0,1,Market Premium,9.5,Parental,09/16/2021,01/10/2022,Regular
E00067,Morgan Walker,Engineering,Associate,Professional,9,84462.18,Female,Non-Minority,No,No,42,40-49,11/22/2017,06/22/2023,Involuntary - Performance,Involuntary,E00015,Northeast,0,Doctorate,6.1,0,Technical,1.6,None,,,Regular
E00068,Sydney White,Supply Chain,Coordinator,Entry,12,126174.32,Female,Non-Minority,No,No,55,50-59,11/08/2014,,,,E00018,Remote,1,Bachelors,9.1,1,Standard,8.1,None,,,Regular
E00069,Sage Smith,Sales,VP,Senior Professional,10,83294.52,Female,Minority,No,No,56,50-59,08/23/2016,,,,E00012,Southeast,0,Bachelors,7.4,1,Standard,7.7,None,,,Regular
E00070,Addison Hall,Engineering,Manager,Professional,7,92708.21,Female,Minority,No,No,28,Under 30,05/31/2022,,,,E00041,Northeast,1,Doctorate,1.6,1,Market Premium,1.3,None,,,Regular
E00071,Morgan Young,Finance,Analyst II,Senior Professional,9,85980.07,Female,Non-Minority,No,No,47,40-49,11/18/2019,03/11/2024,Voluntary - Career Change,Voluntary,E00031,West,0,None,4.1,1,Technical,3.1,None,,,Regular
E00072,Avery Brown,Communications,Senior Manager,Professional,14,116837.21,Male,Non-Minority,No,No,48,40-49,03/16/2011,05/25/2013,Voluntary - Career Change,Voluntary,E00006,Remote,0,Doctorate,12.8,1,Technical,3.4,Parental,11/11/2023,04/02/2024,Regular
E00073,Sage White,Engineering,Director,Entry,14,113959.57,Female,Non-Minority,No,No,25,Under 30,07/14/2018,01/29/2024,Voluntary - Personal,Voluntary,E00028,Remote,0,None,5.5,1,Standard,3.9,None,,,Regular
E00074,Riley Thompson,Research,Analyst II,Senior Professional,6,74854.33,Female,Non-Minority,No,No,32,30-39,12/08/2015,,,,E00016,Northeast,0,Masters,8.1,1,Market Premium,6.1,Medical,04/09/2023,07/18/2023,Regular
E00075,Sage Robinson,Finance,Administrator,Senior Professional,8,84241.1,Female,Non-Minority,No,No,51,50-59,07/13/2016,,,,E00046,Northeast,0,Associates,7.5,1,Market Premium,6.4,Parental,03/21/2020,05/14/2020,Regular
E00076,Taylor Johnson,Research,Senior Analyst,Manager,12,104449.92,Female,Non-Minority,No,No,41,40-49,07/15/2019,04/25/2021,Voluntary - Retirement,Voluntary,E00010,Remote,0,Doctorate,4.5,1,Market Premium,2.5,Parental,04/04/2023,09/01/2023,Regular
E00077,Rowan Thompson,Supply Chain,Manager,Manager,16,137582.05,Male,Minority,No,No,50,40-49,10/27/2016,,,,E00018,Northeast,0,Doctorate,7.2,0,Standard,6.9,None,,,Regular
E00078,Taylor Davis,IT,Senior Director,Senior Professional,9,102217.86,Male,Non-Minority,Yes,No,58,50-59,03/25/2017,,,,E00002,Remote,0,None,6.8,1,Technical,6.1,None,,,Regular
E00079,Rowan Clark,Finance,Manager,Senior Professional,7,81996.41,Male,Non-Minority,No,No,39,30-39,12/04/2022,,,,E00031,Southeast,1,Doctorate,1.1,1,Market Premium,1.2,None,,,Regular
E00080,Drew Lewis,Operations,Analyst II,Director,16,133619.76,Male,Non-Minority,Yes,No,32,30-39,01/11/2021,07/18/2022,Voluntary - Personal,Voluntary,E00022,Midwest,0,Masters,3.0,1,Technical,2.0,None,,,Regular
E00081,Dakota Williams,Risk Management,Specialist,Professional,13,113154.34,Female,Minority,No,No,38,30-39,12/25/2018,,,,E00003,Midwest,0,None,5.0,1,Market Premium,4.8,None,,,Regular
E00082,Parker Johnson,Research,Associate,Professional,13,115390.91,Female,Minority,Yes,No,55,50-59,01/10/2010,,,,E00030,Midwest,0,Doctorate,14.0,0,Market Premium,9.3,None,,,Regular
E00083,Elliot Martinez,Sales,Manager,Senior Professional,9,89043.94,Male,Minority,No,No,53,50-59,02/27/2011,,,,E00009,Northeast,0,None,12.8,1,Technical,8.3,Personal,09/07/2020,02/21/2021,Regular
E00084,Emery Moore,Engineering,Analyst II,Entry,13,114018.86,Female,Minority,No,No,36,30-39,07/21/2013,,,,E00001,Northeast,0,Masters,10.4,1,Standard,7.2,None,,,Regular
E00085,Marley Martin,Customer Service,Manager,Professional,9,88793.63,Male,Minority,No,Yes,37,30-39,06/15/2013,07/15/2019,Involuntary - Performance,Involuntary,E00027,West,0,Doctorate,10.5,0,Standard,4.5,None,,,Regular
E00086,Kendall Allen,Customer Service,Administrator,Manager,12,101354.74,Male,Non-Minority,No,No,48,40-49,06/12/2023,,,,E00018,Midwest,0,Doctorate,0.6,0,Market Premium,1.0,None,,,Regular
E00087,Reese Lewis,Supply Chain,Manager,Manager,14,122205.07,Male,Minority,No,No,31,30-39,05/06/2016,,,,E00038,West,0,Doctorate,7.7,0,Market Premium,3.2,None,,,Regular
E00088,Dakota Scott,Communications,Specialist,Entry,13,123344.65,Male,Minority,No,No,34,30-39,05/19/2022,,,,E00025,Southeast,0,Doctorate,1.6,1,Market Premium,0.9,None,,,Regular
E00089,Finley Robinson,Finance,Consultant,Entry,10,100441.21,Male,Minority,No,No,46,40-49,03/20/2019,,,,E00048,West,0,Associates,4.8,1,Market Premium,5.1,None,,,Regular
E00090,Addison King,Customer Service,Manager,Director,15,128361.29,Female,Non-Minority,No,No,28,Under 30,10/31/2012,,,,E00007,Remote,0,Masters,11.2,1,Standard,8.6,None,,,Regular
E00091,Finley Allen,Risk Management,Senior Associate,Entry,7,78865.41,Male,Minority,No,No,43,40-49,03/13/2019,,,,E00005,Remote,0,Masters,4.8,0,Technical,0.9,None,,,Regular
E00092,Logan Wright,Risk Management,Coordinator,Senior Manager,16,156482.63,Female,Non-Minority,No,No,53,50-59,05/15/2017,,,,E00041,Remote,1,None,6.6,1,Technical,1.0,Parental,03/23/2021,07/28/2021,Regular
E00093,Morgan Hall,Supply Chain,Senior Director,Senior Professional,6,65016.45,Female,Minority,No,No,28,Under 30,02/07/2015,,,,E00028,West,0,Associates,8.9,1,Technical,3.2,None,,,Regular
E00094,Sage Taylor,Finance,Specialist,Senior Professional,10,95895.18,Female,Non-Minority,Yes,No,49,40-49,08/26/2010,,,,E00004,Southeast,0,Associates,13.3,1,Technical,6.0,None,,,Regular
E00095,Addison Thomas,Marketing,Director,Professional,7,78212.6,Female,Non-Minority,No,No,65,60+,01/15/2014,,,,E00040,Southeast,0,Masters,10.0,1,Technical,1.9,None,,,Regular
E00096,Charlie Martinez,Engineering,Senior Director,Entry,5,69042.6,Female,Minority,No,No,56,50-59,05/05/2020,09/07/2023,Voluntary - Personal,Voluntary,E00030,Southeast,0,None,3.7,0,Market Premium,4.0,None,,,Regular
E00097,Jamie Jackson,Engineering,Administrator,Senior Professional,11,104052.93,Male,Non-Minority,No,No,41,40-49,03/07/2023,,,,E00045,Southeast,0,Masters,0.8,1,Market Premium,0.6,None,,,Regular
E00098,Hayden Rodriguez,Supply Chain,Analyst I,Senior Professional,9,90038.44,Female,Non-Minority,No,No,58,50-59,07/22/2018,01/27/2023,Involuntary - Performance,Involuntary,E00043,Northeast,0,Doctorate,5.4,0,Technical,3.2,None,,,Regular
E00099,Jamie Lewis,Sales,Coordinator,Professional,8,100396.4,Male,Minority,No,No,64,60+,06/02/2016,06/29/2019,Involuntary - Restructuring,Involuntary,E00040,Southeast,1,None,7.6,0,Technical,5.4,None,,,Regular
E00100,Blake Walker,Communications,Senior Analyst,Entry,12,113472.83,Male,Minority,No,No,27,Under 30,12/05/2016,,,,E00038,Midwest,0,Bachelors,7.1,1,Technical,3.5,None,,,Regular
E00101,Rowan Lee,Marketing,Consultant,Senior Professional,13,136076.51,Female,Non-Minority,No,No,39,30-39,07/03/2014,,,,E00024,Southeast,1,Bachelors,9.5,1,Market Premium,9.7,None,,,Regular
E00102,Dakota Williams,Supply Chain,Senior Analyst,Professional,10,102266.92,Male,Non-Minority,No,No,36,30-39,08/14/2016,,,,E00008,West,0,Doctorate,7.4,0,Market Premium,1.2,None,,,Regular
E00103,Morgan Jackson,Finance,Specialist,Professional,9,88088.38,Female,Minority,No,No,65,60+,11/07/2018,,,,E00035,Midwest,0,Doctorate,5.1,1,Market Premium,4.7,None,,,Regular
E00104,Drew Scott,Product,Director,Director,10,105432.59,Female,Non-Minority,No,No,36,30-39,05/02/2018,01/15/2020,Voluntary - Retirement,Voluntary,E00036,Northeast,1,Masters,5.7,1,Technical,2.2,Personal,07/31/2022,11/12/2022,Regular
E00105,Finley Brown,Marketing,Analyst II,Professional,5,62005.38,Male,Non-Minority,No,No,37,30-39,08/13/2012,,,,E00020,Remote,0,Associates,11.4,0,Market Premium,5.7,None,,,Regular
E00106,Cameron Brown,IT,Administrator,Professional,7,81801.97,Male,Non-Minority,No,No,53,50-59,02/12/2022,,,,E00027,Remote,1,Masters,1.9,1,Market Premium,0.6,None,,,Regular
E00107,Avery King,Sales,Specialist,Entry,12,109055.08,Female,Minority,No,No,28,Under 30,04/24/2018,,,,E00029,Midwest,0,Doctorate,5.7,1,Technical,2.5,None,,,Regular
E00108,Addison Young,Engineering,Manager,Professional,8,79008.51,Male,Non-Minority,No,No,27,Under 30,12/06/2018,,,,E00008,Southeast,0,Doctorate,5.1,1,Standard,0.8,None,,,Regular
E00109,Quinn Williams,Sales,Administrator,Professional,7,81585.12,Female,Minority,No,No,57,50-59,06/25/2017,,,,E00037,Southeast,0,Doctorate,6.5,1,Standard,5.8,None,,,Regular
E00110,Addison Jones,Communications,Senior Analyst,Manager,10,112870.79,Male,Minority,No,No,56,50-59,03/24/2015,05/27/2019,Voluntary - Career Change,Voluntary,E00018,Midwest,1,Associates,8.8,1,Standard,6.3,None,,,Regular
E00111,Drew Smith,Operations,Senior Analyst,Professional,8,83733.57,Male,Non-Minority,No,No,38,30-39,07/31/2010,07/19/2012,Voluntary - New Opportunity,Voluntary,E00038,Northeast,0,Associates,13.4,1,Technical,6.1,None,,,Regular
E00112,Dakota Hall,Supply Chain,Specialist,Senior Professional,6,71232.18,Male,Non-Minority,No,No,54,50-59,07/20/2012,,,,E00031,Remote,0,None,11.4,1,Market Premium,6.2,None,,,Regular
E00113,Dakota Clark,Finance,Analyst I,Professional,13,113741.17,Male,Minority,No,No,25,Under 30,10/18/2023,,,,E00020,West,0,Masters,0.2,1,Market Premium,0.6,None,,,Regular
E00114,Drew Harris,Supply Chain,Senior Analyst,Entry,12,111094.2,Female,Minority,No,No,26,Under 30,12/30/2020,,,,E00006,Southeast,0,Bachelors,3.0,1,Technical,2.4,None,,,Regular
E00115,River Lee,Supply Chain,Senior Associate,Senior Manager,15,124400.8,Male,Minority,No,No,51,50-59,04/20/2022,,,,E00025,Remote,0,Doctorate,1.7,1,Market Premium,0.7,None,,,Regular
E00116,Dakota Wright,Risk Management,Associate,Manager,13,115861.91,Female,Minority,No,No,48,40-49,07/26/2012,,,,E00028,Midwest,0,Masters,11.4,1,Market Premium,5.2,None,,,Regular
E00117,Skyler Rodriguez,Operations,Specialist,Professional,11,102216.7,Female,Non-Minority,No,No,31,30-39,02/18/2012,,,,E00021,West,0,None,11.9,0,Standard,10.4,None,,,Regular
E00118,Sydney Taylor,Legal,Coordinator,Senior Professional,6,84276.33,Male,Non-Minority,No,No,30,Under 30,02/03/2012,,,,E00048,Remote,1,None,11.9,1,Technical,11.9,None,,,Regular
E00119,Addison Lewis,Operations,Coordinator,Professional,6,86172.61,Female,Minority,No,No,49,40-49,08/07/2022,,,,E00023,Northeast,1,Bachelors,1.4,0,Technical,0.9,Family Care,03/01/2019,06/03/2019,Regular
E00120,Finley Davis,Customer Service,Administrator,Professional,8,86383.3,Female,Minority,Yes,No,28,Under 30,12/18/2022,,,,E00043,Midwest,0,Doctorate,1.0,1,Market Premium,0.6,Medical,02/15/2021,07/19/2021,Regular
E00121,Kendall Young,Communications,Director,Entry,11,97430.59,Male,Minority,No,No,61,60+,11/17/2022,,,,E00036,Remote,0,None,1.1,1,Technical,1.5,None,,,Regular
E00122,Logan Hall,Finance,Senior Associate,Entry,7,77188.3,Male,Non-Minority,Yes,No,43,40-49,12/31/2015,,,,E00018,Midwest,0,None,8.0,1,Standard,7.5,None,,,Regular
E00123,Alex Williams,Human Resources,VP,Professional,7,74775.08,Female,Non-Minority,No,No,55,50-59,09/14/2022,,,,E00041,Southeast,0,Masters,1.3,0,Market Premium,1.1,Military,10/07/2019,01/12/2020,Regular
E00124,Reese Harris,Engineering,Analyst II,Senior Professional,10,99009.57,Male,Minority,No,No,25,Under 30,04/20/2018,,,,E00050,Southeast,0,Associates,5.7,1,Technical,0.8,None,,,Regular
E00125,Finley Harris,Engineering,Manager,Senior Manager,17,137989.55,Male,Non-Minority,Yes,No,48,40-49,10/31/2011,,,,E00028,Midwest,0,Associates,12.2,0,Technical,1.9,Military,10/27/2022,02/13/2023,Regular
E00126,Rowan Lewis,Engineering,Senior Associate,Senior Professional,14,133031.65,Male,Minority,No,No,24,Under 30,06/27/2012,,,,E00032,Southeast,1,Masters,11.5,0,Technical,1.1,None,,,Regular
E00127,Jamie Martinez,Engineering,Specialist,Professional,8,84057.97,Male,Non-Minority,No,No,29,Under 30,08/02/2014,,,,E00049,Northeast,0,Masters,9.4,1,Technical,4.5,Medical,06/14/2019,10/11/2019,Regular
E00128,Emery Young,Customer Service,Senior Director,Entry,8,93008.69,Male,Non-Minority,No,No,44,40-49,07/12/2018,,,,E00033,Northeast,0,Masters,5.5,1,Technical,0.7,None,,,Regular
